,zip,ghi
14491,33062,5.153288523333334
14499,33070,none
14507,33081,5.143868446
14509,33083,5.143868446
14515,33101,5.285292148666667
14517,33106,5.22852170475
14518,33107,5.219634850833333
14520,33110,5.249296506333334
14526,33121,5.219634850833333
14527,33122,5.219634850833333
14531,33127,5.22852170475
14532,33128,5.285292148666667
14536,33132,5.285292148666667
14540,33136,5.2784490585
14541,33137,5.2784490585
14542,33138,5.2784490585
14543,33139,5.285292148666667
14544,33140,5.269000053
14545,33141,5.2784490585
14546,33142,5.2162329674
14551,33147,5.2162329674
14552,33148,5.219634850833333
14554,33150,5.22852170475
14558,33154,none
14564,33160,none
14565,33161,none
14566,33162,5.196000099
14570,33166,5.213777542166667
14571,33167,5.203041196
14572,33168,5.178594351
14573,33169,5.184396267
14582,33179,5.196000099
14583,33180,none
14584,33181,none
14598,33195,5.219634850833333
14604,33222,5.180066704750001
14625,33301,5.1568119525
14626,33302,5.1568119525
14627,33303,5.1568119525
14628,33304,5.1568119525
14629,33305,5.1568119525
14630,33306,5.1568119525
14631,33307,5.1568119525
14632,33308,5.153288523333334
14634,33310,5.1568119525
14638,33314,5.1681851386
14640,33316,5.1568119525
14642,33318,5.1568119525
14644,33320,5.1568119525
14653,33329,5.1568119525
14657,33334,5.1568119525
14658,33335,5.1568119525
14659,33336,5.1568119525
14660,33337,5.1568119525
14661,33338,5.1568119525
14662,33339,5.1568119525
14663,33340,5.1568119525
14664,33345,5.1568119525
14665,33346,5.1568119525
14666,33348,5.1568119525
14667,33349,5.1568119525
14669,33355,5.1568119525
14670,33359,5.1568119525
14671,33388,5.1568119525
14672,33394,5.1568119525
14703,33432,5.1767963408
14881,33706,5.298999786333334
14882,33707,5.298999786333334
14883,33708,5.312999487000001
14884,33709,5.298999786333334
14885,33710,5.298999786333334
14905,33744,5.298999786333334
14919,33767,5.220314145250001
14921,33770,5.21963048
14925,33774,5.21963048
14927,33776,5.21963048
14929,33778,5.21963048
14935,33785,5.21963048
14936,33786,5.21963048
15029,33924,5.3603544235000005
15040,33945,5.3603544235000005
15051,33956,5.3625906705
15052,33957,5.344454288333334
16059,36528,5.009155273749999
16450,37333,4.485119660833333
16563,37687,4.359502156666666
17080,38659,4.612844586375
17428,39425,4.832813944285713
17913,40803,4.247253213571429
17927,40827,4.249244212999999
17945,40868,4.245565652833333
17953,40914,4.238619089
17960,40932,4.255902426571429
17976,40972,4.2256192208
18234,41714,4.238619089
18256,41762,4.2357707976
18650,43111,4.0737288264444445
18670,43144,4.0728902341
18802,43436,3.979994297
20208,46320,4.0672693255
20595,47175,4.256697475875001
21019,48015,3.9179507495
21021,48021,3.8878252509999998
21028,48030,3.948934316666667
21069,48080,3.8549041749999997
21070,48081,3.8668621185
21077,48089,3.906869411666667
21078,48090,3.9179507495
21079,48091,3.9179507495
21112,48127,3.9550280175
21129,48150,3.950609684125
21130,48151,3.950609684125
21131,48152,3.950609684125
21132,48153,3.950609684125
21133,48154,3.950609684125
21170,48201,3.949525118
21171,48202,3.949525118
21172,48203,3.949525118
21173,48204,3.949525118
21174,48205,3.906869411666667
21175,48206,3.949525118
21176,48207,3.9405971765
21177,48208,3.949525118
21179,48210,3.949525118
21180,48211,3.9405971765
21181,48212,3.9405971765
21182,48213,3.902064800333333
21183,48214,3.92999959
21184,48215,3.92999959
21185,48216,3.9559885859999997
21191,48222,3.949525118
21192,48223,3.9499080660000003
21193,48224,3.9018833639999997
21194,48225,3.8549041749999997
21195,48226,3.9405971765
21196,48227,3.944853604
21197,48228,3.9499080660000003
21199,48230,3.92999959
21200,48231,3.949525118
21201,48232,3.949525118
21203,48234,3.9179507495
21205,48236,3.8549041749999997
21207,48238,3.949525118
21208,48239,3.9499080660000003
21209,48240,3.9481907290000002
21211,48243,3.9405971765
21212,48244,3.949525118
21213,48255,3.949525118
21214,48260,3.949525118
21215,48264,3.949525118
21216,48265,3.949525118
21217,48266,3.949525118
21218,48267,3.949525118
21219,48268,3.949525118
21220,48269,3.949525118
21221,48272,3.949525118
21222,48275,3.949525118
21223,48277,3.949525118
21224,48278,3.949525118
21225,48279,3.949525118
21226,48288,3.949525118
21294,48397,3.9213117124
21460,48737,3.8769918168571427
21789,49309,3.8562019268333327
21826,49349,3.872934920428571
21950,49644,3.8257157326
21958,49654,none
22050,49782,none
22056,49790,3.7681101958333336
22067,49806,3.739132336142857
22160,49947,3.778444022125
22169,49961,3.7337572574999998
22176,49969,3.7435910105000003
23747,54246,3.919828176
23853,54517,3.7809597249999998
23886,54560,3.7931977679999997
24550,55771,3.6857498644000004
25082,56627,3.6807665029999996
25104,56658,none
25126,56685,3.738336563
25129,56688,3.72873153
25132,56711,none
25156,56741,none
25551,57745,4.3879833222
26012,59020,4.1147499085
26020,59030,4.086497784
26036,59052,3.976103941666666
26062,59081,4.119376659
26203,59465,3.8318313359999996
26259,59639,3.9758756956666663
26277,59716,4.014118035666667
26310,59758,4.100999832
26377,59913,3.567030748
26383,59919,none
26385,59921,none
26389,59926,3.56676262625
26391,59928,3.5350895882000004
26399,59936,none
26415,60016,4.039802273166667
26416,60017,4.039802273166667
26417,60018,4.039802273166667
26418,60019,4.039802273166667
26447,60056,4.039802273166667
26488,60104,4.031884591
26489,60105,4.03944176425
26490,60106,4.03944176425
26509,60126,4.0408440033333335
26512,60130,4.059286753666666
26513,60131,4.0345226525
26523,60141,4.059286753666666
26534,60153,4.031884591
26535,60154,4.046217918666667
26536,60155,4.059286753666666
26540,60160,4.0345226525
26541,60161,4.0345226525
26542,60162,4.046217918666667
26543,60163,4.0408440033333335
26544,60164,4.03944176425
26545,60165,4.036348581333333
26549,60171,3.997000456
26554,60176,4.0345226525
26559,60181,4.046731186
26582,60290,4.0684220794999995
26583,60301,4.019008279
26584,60302,4.031884591
26585,60303,4.031884591
26586,60304,4.059286753666666
26587,60305,4.019008279
26588,60399,4.03944176425
26590,60402,4.059286753666666
26682,60513,4.059286753666666
26690,60521,4.0493981045
26691,60522,4.0493981045
26692,60523,4.046731186
26693,60525,4.0493266585
26694,60526,4.0493266585
26699,60534,4.059286753666666
26710,60546,4.059286753666666
26721,60558,4.0468437672499995
26732,60570,4.0468437672499995
26739,60601,3.997000456
26740,60602,4.0273188355
26741,60603,4.0273188355
26742,60604,4.0273188355
26743,60605,4.0684220794999995
26744,60606,4.0273188355
26745,60607,4.0684220794999995
26746,60608,4.0684220794999995
26747,60609,4.0684220794999995
26748,60610,3.997000456
26749,60611,3.997000456
26750,60612,4.0273188355
26751,60613,3.997000456
26752,60614,3.997000456
26753,60615,4.079206944
26754,60616,4.0684220794999995
26755,60617,4.0672693255
26756,60618,3.997000456
26759,60621,4.066879749666666
26760,60622,3.997000456
26761,60623,4.0684220794999995
26762,60624,4.0273188355
26763,60625,3.997000456
26766,60629,4.066879749666666
26767,60630,3.997000456
26769,60632,4.0684220794999995
26771,60634,3.997000456
26772,60636,4.066879749666666
26773,60637,4.079206944
26775,60639,3.997000456
26776,60640,3.997000456
26777,60641,3.997000456
26778,60642,3.997000456
26780,60644,4.031884591
26783,60647,3.997000456
26785,60651,3.997000456
26787,60653,4.079206944
26788,60654,3.997000456
26790,60656,3.997000456
26791,60657,3.997000456
26793,60660,4.0119401215
26794,60661,4.0273188355
26795,60663,4.0684220794999995
26796,60664,4.0684220794999995
26797,60666,4.041774471499999
26798,60668,4.0684220794999995
26799,60669,4.0684220794999995
26800,60670,4.0684220794999995
26801,60673,4.0684220794999995
26802,60674,4.0684220794999995
26803,60675,4.0684220794999995
26804,60677,4.0684220794999995
26805,60678,4.0684220794999995
26806,60679,4.0684220794999995
26807,60680,4.0684220794999995
26808,60681,4.0684220794999995
26809,60682,4.059286753666666
26810,60684,4.0684220794999995
26811,60685,4.0684220794999995
26812,60686,4.0684220794999995
26813,60687,4.0684220794999995
26814,60688,4.0684220794999995
26815,60689,4.0684220794999995
26816,60690,4.0684220794999995
26817,60691,4.0684220794999995
26818,60693,4.0684220794999995
26819,60694,4.0684220794999995
26820,60695,4.0684220794999995
26821,60696,4.0684220794999995
26822,60697,4.0684220794999995
26823,60699,4.0684220794999995
26824,60701,4.0684220794999995
26825,60706,3.997000456
26826,60707,3.997000456
26830,60804,4.0684220794999995
